2020;Mix2020;2019;Mix2019;2018;Mix2018;2017;Mix2017;2016;Mix2016;2015;Mix2015;2014;Mix2014;2013;Mix2013;2012;Mix2012;2011;Mix2011
AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,20;"CEPSA COMERCIAL PETRÓLEO,
 S.A.U.";0,00;COMERCIALIZADORA ELECTRICA DE CADIZ, S.A.;0,00;COOPERATIVA VALENCIANA ELECTRODISTRIBUIDORA DE FUERZA Y ALUMBRADO SERRALLO, S.Coop.V.;0,00;EDP Energía S.A.U.;0,24;ENÉRGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,00;"LA UNION ELECTRO INDUSTRIAL, S.L. ""UNIPERSONAL""";0,04;OLTEN-LLUM, S.L.;0,34;;;;
AXPO IBERIA, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,00;COX ENERGÍA COMERCIALIZADORA ESPAÑA, S.L.U.;0,00;ELECNOVA SIGLO XXI, S.L.;0,00;FACTOR ENERGÍA, S.A.;0,31;NATURGAS ENERGÍA COMERCIALIZADORA, S.A.U.;0,20;SOM ENERGÍA, S.C.C.L.;0,00;;;;
BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;CIDE HCENERGÍA S.A.;0,31;COMERCIALIZADORA LERSA , S.L.;0,00;CYE ENERGÍA, S.L.;0,00;ELECTRA DEL CARDENER ENERGÍA, S.A.;0,00;FENIE ENERGÍA, S.A.;0,36;NEXUS ENERGÍA, S.A.;0,13;UNIELÉCTRICA ENERGÍA, S.L.;0,00;;;;
BEYOND SUN SL;0,00;CLIDOM ENERGY, S.L.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;DAIMUZ ENERGÍA, S.L.;0,00;ELÉCTRICA ALBATERENSE, S.L.;0,00;GAS NATURAL COMERCIALIZADORA, S.A.;0,35;NEXUS RENOVABLES, S.L.;0,00;UNION FENOSA COMERCIAL, S.L.;0,36;;;;
BIROU GAS S.L.;0,24;COMERCIALIZADORA DE ELECTRICIDAD Y GAS DEL MEDITERRÁNEO, S.L.;0,00;COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.;0,00;DISA ENERGÍA ELÉCTRICA, S.L.U.;0,00;ELÉCTRICA ALGIMIA DE ALFARA, S.COOP.V.;0,00;GAS NATURAL SERVICIOS SDG, S.A.;0,36;OLTEN-LLUM, S.L.;0,34;ZENCER, S. COOP. AND;0,00;;;;
BON PREU, SAU;0,00;COMERCIALIZADORA ELECTRICA DE CADIZ, S.A.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;DREUE ELECTRIC, S.L.;0,26;ELÉCTRICA CATRALENSE, S.L.;0,03;GDF SUEZ ENERGÍA ESPAÑA, S.A.U.;0,35;ON DEMAND FACILITIES, S.L.;0,37;;;;;;
BULB ENERGÍA IBÉRICA SL;0,00;COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.;0,31;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;DRK ENERGY, S.L.;0,02;ELÉCTRICA DE CHERA, S.C.V.;0,00;GEOATLANTER, S.L.;0,14;SOM ENERGÍA, S.C.C.L.;0,00;;;;;;
BY ENERGYC ENERGÍA EFICIENTE, S.L.;0,00;COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,07;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;ECOFUTURA LUZ ENERGÍA, S.L.;0,00;ELÉCTRICA DE GUADASSUAR COOP. V.;0,00;GESTERNOVA, S.A.;0,00;THE YELLOW ENERGY, S.L.;0,00;;;;;;
CATGAS ENERGÍA, S.A.;0,00;COMERCIALIZADORA ENERGÉTICA SOSTENIBLE, S.A.U.;0,00;COOPERATIVA VALENCIANA ELECTRODISTRIBUIDORA DE FUERZA Y ALUMBRADO SERRALLO, S.Coop.V.;0,00;EDP COMERCIALIZADORA, S.A.U.;0,26;ELÉCTRICA DIRECTA ENERGÍA, S.L.;0,00;GNERA ENERGÍA Y TECNOLOGIA, S.L.;0,00;UNIELÉCTRICA ENERGÍA, S.A.;0,00;;;;;;
"CEPSA COMERCIAL PETRÓLEO,
S.A.U.";0,00;COMERCIALIZADORA LERSA , S.L.;0,01;COX ENERGÍA COMERCIALIZADORA ESPAÑA, S.L.U.;0,00;EDP ENERGÍA S.A.U.;0,25;ELÉCTRICA SOLLERENSE, S.A.;0,00;GOIENER S.COOP;0,01;VERTSEL ENERGÍA, S.L.U.;0,02;;;;;;
CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;CYE ENERGÍA, S.L.;0,01;ELECNOVA SIGLO XXI, S.L.;0,00;ELECTRODISTRIBUIDORA DE FUERZA Y ALUMBRADO CASABLANCA, S. COOP.V.;0,00;HIDROCANTABRICO ENERGÍA, S.A. Unipersonal;0,23;ZENCER, S. COOP. AND;0,16;;;;;;
CHITAHI ENERGY, S.L.;0,25;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;DAIMUZ ENERGÍA, S.L.;0,00;ELECTRA CALDENSE ENERGÍA, S.A.;0,00;ELYGAS POWER, S.L.;0,00;HIDROELECTRICA DEL VALIRA, S.L.;0,30;;;;;;;;
CIDE HCENERGÍA S.A.;0,25;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,01;DISA ENERGÍA ELECTRICA, S.L.U.;0,00;ELECTRA DEL CARDENER ENERGÍA, S.A.;0,00;ELÉCTRICA DE MELIANA, S.C.V.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;;;;;;;;
COMERCIALIZADORA DE ELECTRICIDAD Y GAS DEL MEDITERRÁNEO, S.L.;0,00;COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.;0,00;DREUE ELECTRIC, S.L.;0,40;ELÉCTRICA ALBATERENSE, S.L.;0,00;ELÉCTRICA DE SOT DE CHERA S. COOP.V.;0,00;IBERDROLA CLIENTES, S.A.U.;0,21;;;;;;;;
COMERCIALIZADORA DE ENERGÍA DIRECTA, S.L.;0,00;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;DRK ENERGY, S.L.;0,00;ELÉCTRICA CATRALENSE, S.L.;0,00;ELÉCTRICA DE VINALESA, S.L.U.;0,04;INDEXO ENERGÍA, S.L.;0,10;;;;;;;;
