Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
Castilla - La Mancha,"PLÁSTICOS REGIDOR, S.L.",44.0,C. Industria manufacturera,384.0,Pequeña,108.0,2013.0
Castilla - La Mancha,"PRODUCTOS MANZANARES, S.L.",39.0,C. Industria manufacturera,212.0,Pequeña,109.0,2013.0
Castilla - La Mancha,"STOP, S.A.",33.0,I. Hostelería,147.0,Pequeña,110.0,2013.0
Castilla - La Mancha,"SINMO MULTIMEDIA, S.L.",4.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,8.0,Micro,111.0,2013.0
Castilla - La Mancha,AGROPECUARIA ECOLÓGICA SIERRA DE ALCARAZ (AESA),1.0,C. Industria manufacturera,9.0,Micro,112.0,2011.0
Castilla - La Mancha,AGROPECUARIA ECOLÓGICA SIERRA DE ALCARAZ (AESA),1.0,C. Industria manufacturera,11.0,Micro,113.0,2012.0
Castilla - La Mancha,AGROPECUARIA ECOLÓGICA SIERRA DE ALCARAZ (AESA),1.0,C. Industria manufacturera,15.0,Micro,114.0,2013.0
Castilla - La Mancha,"DISALGLASS, S.L.",3.0,C. Industria manufacturera,26.0,Micro,115.0,2013.0
"Madrid, Comunidad de","AQUALIA INFRAESTRUCTURAS, S.A.",97.0,"R. Actividades artísticas, recreativas y de entretenimiento",372.0,Mediana,116.0,2013.0
Comunitat Valenciana,RECICLADOS PALANCIA BELCAIRE S.L.,47.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",8441.0,Pequeña,117.0,2013.0
"Rioja, La","CALZADOS FAL, S.A.",140.0,C. Industria manufacturera,202.0,Mediana,118.0,2010.0
País Vasco,"BASOINSA, S.L.",183.0,"M. Actividades profesionales, científicas y técnicas",87.0,Mediana,119.0,2012.0
País Vasco,GRUPO BBVA,9460.0,K. Actividades financieras y de seguros,335884.0,Gran empresa,120.0,2014.0
País Vasco,URBEGI SERVICIOS AUXILIARES,109.0,S. Otros servicios,27.0,Mediana,121.0,2013.0
País Vasco,URBEGI SERVICIOS MEDIO AMBIENTE,56.0,S. Otros servicios,9.0,Mediana,122.0,2013.0
Castilla y León,"ROYBA 98, S.L.",35.0,F. Construcción,130.0,Pequeña,123.0,2012.0
Castilla y León,"ROYBA 98, S.L.",32.0,F. Construcción,99.0,Pequeña,124.0,2013.0
Castilla y León,"GABINETE DE ESTUDIOS AMBIENTALES Y AGRONÓMICOS. INGENIEROS, S.L.",7.0,"M. Actividades profesionales, científicas y técnicas",8.0,Micro,125.0,2014.0
